,District,Type,Count,Amount,Year,state,Quater
330,bidar district,TOTAL,2721584,5080725120.068466,2020,karnataka,Q2
331,bengaluru rural district,TOTAL,4985176,7327672246.467524,2020,karnataka,Q2
332,raichur district,TOTAL,2539004,5656069355.298939,2020,karnataka,Q2
333,chamarajanagara district,TOTAL,810039,1319001489.301943,2020,karnataka,Q2
334,dakshina kannada district,TOTAL,3531912,6376675751.895021,2020,karnataka,Q2
335,hassan district,TOTAL,2466013,4597170471.807137,2020,karnataka,Q2
336,dharwad district,TOTAL,4199998,6626617210.413645,2020,karnataka,Q2
337,shivamogga district,TOTAL,3119744,5814372127.285877,2020,karnataka,Q2
338,udupi district,TOTAL,1422997,1890958755.8770115,2020,karnataka,Q2
339,gadag district,TOTAL,1120246,1926789573.0495763,2020,karnataka,Q2
340,mysuru district,TOTAL,9675261,17597207367.350117,2020,karnataka,Q3
341,chitradurga district,TOTAL,2668335,5093059094.127508,2020,karnataka,Q3
342,kalaburagi district,TOTAL,3985999,8540463933.472765,2020,karnataka,Q3
343,ramanagara district,TOTAL,3857792,6868892174.870599,2020,karnataka,Q3
344,mandya district,TOTAL,3414341,7045696607.512827,2020,karnataka,Q3
345,kodagu district,TOTAL,864653,1484649695.2324553,2020,karnataka,Q3
346,chikkamagaluru district,TOTAL,1770575,3204755845.405322,2020,karnataka,Q3
347,haveri district,TOTAL,1610868,2997480441.814833,2020,karnataka,Q3
348,ballari district,TOTAL,6483038,12217179442.79111,2020,karnataka,Q3
349,belagavi district,TOTAL,7078363,12764674160.447115,2020,karnataka,Q3
350,kolar district,TOTAL,5319243,10255312905.948189,2020,karnataka,Q3
351,uttara kannada district,TOTAL,1739526,2695792104.7146916,2020,karnataka,Q3
352,tumakuru district,TOTAL,6090300,11453537750.655712,2020,karnataka,Q3
353,yadgir district,TOTAL,1187896,2891471242.143757,2020,karnataka,Q3
354,bengaluru urban district,TOTAL,188947684,261095181780.0901,2020,karnataka,Q3
355,chikkaballapura district,TOTAL,3502237,7428337958.70154,2020,karnataka,Q3
356,davanagere district,TOTAL,5205295,10283937898.613033,2020,karnataka,Q3
357,bagalkote district,TOTAL,2852266,5776387765.783536,2020,karnataka,Q3
358,vijayapura district,TOTAL,3761144,8003746941.635164,2020,karnataka,Q3
359,koppal district,TOTAL,2037116,4024163868.9327297,2020,karnataka,Q3
360,bidar district,TOTAL,3305705,6687478292.352659,2020,karnataka,Q3
361,bengaluru rural district,TOTAL,7596076,11770793408.192162,2020,karnataka,Q3
